"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"507P*","1","SHL","100","兆康","Siu Hong",1.00
"507P*","1","CHC","120","青松","Ching Chung",2.00
"507P*","1","KIS","130","建生","Kin Sang",3.00
"507P*","1","TNK","140","田景","Tin King",4.00
"507P*","1","LEK","150","良景","Leung King",5.00
"507P*","1","SAW","160","新圍","San Wai",6.00
"507P*","1","THN","212","大興(北)","Tai Hing (North)",7.00
"507P*","1","THS","220","大興(南)","Tai Hing (South)",8.00
"507P*","1","NGW","230","銀圍","Ngan Wai",9.00
"507P*","1","CYB","075","蔡意橋","Choy Yee Bridge",10.00
"507P*","1","HOT","070","河田","Ho Tin",11.00
"507P*","1","TML","295","屯門","Tuen Mun",12.00
"507P*","1","TOC","280","市中心","Town Centre",13.00
"507P*","1","ONT","270","安定","On Ting",14.00
"507P*","1","SIL","265","兆麟","Siu Lun",15.00
"507P*","1","GOG","260","豐景園","Goodview Garden",16.00
"507P*","1","TSP","250","屯門泳池","Tuen Mun Swimming Pool",17.00
"507P*","1","SHE","240","兆禧","Siu Hei",18.00
"507P*","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",19.00
